  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   1.943	   0.268	  0.077	  1.592	   4    	        4.82	    0.12
           3	   1.535	   0.248	  0.088	  1.611	   3.333	        4.63	   -0.149
           5	   1.888	   0.473	  0.198	  3.269	   4.4  	        5.6 	   -1.428
           3	   1.908	   0.176	  0.057	  1.698	   4.333	        4.56	    0.494
           4	   1.426	   0.386	  0.149	  2.763	   4.5  	        5.33	   -0.224
           5	   1.341	   0.384	  0.141	  2.775	   3.6  	        6.19	   -1.041
           3	   1.889	   0.129	  0.064	  1.733	   2.667	        5.05	   -1.148
           4	   1.151	   0.254	  0.135	  2.128	   2.75 	        6.24	   -0.918
           3	   2.438	   0.361	  0.107	  2.318	   5.667	        4.55	    0.443
           5	   1.353	   0.386	  0.102	  2.237	   3.4  	        5.52	   -0.678
           4	   1.701	   0.356	  0.135	  2.192	   3.75 	        5.02	   -0.634
           3	   0.999	   0.193	  0.088	  1.667	   2    	        4.56	   -0.947
           4	   1.151	   0.254	  0.124	  2.228	   2.75 	        5.23	   -1.007
           5	   1.636	   0.17 	  0.09 	  2.382	   2    	        5.5 	   -2.278
           5	   1.449	   0.389	  0.129	  2.739	   3.6  	        5.51	   -1.106
           3	   1.878	   0.129	  0.066	  1.75 	   2.667	        4.88	   -1.156
           5	   1.983	   0.454	  0.099	  2.553	   4.8  	        5.6 	   -0.289
           5	   1.386	   0.38 	  0.119	  2.909	   3.4  	        5.63	   -1.394
           5	   1.314	   0.176	  0.129	  2.036	   2.6  	        5.87	   -1.055
           3	   1.535	   0.238	  0.087	  1.658	   3    	        4.97	   -0.518
           3	   2.235	   0.139	  0.061	  1.727	   3    	        4.82	   -1.162
           3	   2.139	   0.374	  0.096	  2.308	   5.667	        5.02	    0.75
           4	   1.643	   0.322	  0.1  	  2.417	   3.5  	        5.23	   -0.982
           3	   2.309	   0.315	  0.092	  2.399	   5    	        4.68	   -0.115
           5	   1.314	   0.309	  0.089	  2.458	   2.8  	        5.34	   -1.37
           5	   1.133	   0.325	  0.138	  2.934	   3.2  	        5.79	   -1.33
           4	   1.431	   0.325	  0.151	  2.934	   4    	        4.94	   -0.841
           4	   1.409	   0.319	  0.104	  2.381	   3.5  	        5.21	   -0.713
           4	   2.091	   0.475	  0.132	  2.32 	   6    	        5.11	    0.982
           5	   1.314	   0.337	  0.123	  2.507	   3.6  	        5.6 	   -0.681
           3	   1.943	   0.342	  0.097	  2.384	   5    	        4.82	    0.234
           3	   1.847	   0.248	  0.088	  1.611	   3.333	        4.94	   -0.461
           4	   1.457	   0.386	  0.103	  2.369	   4    	        5.02	   -0.315
           3	   2.517	   0.355	  0.084	  2.322	   5.333	        4.53	    0.055
           5	   1.314	   0.307	  0.098	  2.337	   2.8  	        5.48	   -1.256
           5	   1.314	   0.306	  0.087	  2.425	   2.8  	        5.78	   -1.332
           4	   2.409	   0.605	  0.117	  2.675	   6    	        5.13	    0.194
           3	   1.908	   0.182	  0.163	  1.975	   4.667	        4.92	    0.439
           4	   1.811	   0.389	  0.152	  2.831	   5    	        5.33	   -0.183
           5	   1.328	   0.322	  0.136	  2.918	   3.2  	        5.75	   -1.504
