  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           5	   2.207	   0.055	  0.064	  3.604	   1.6  	        7.12	   -4.33
           5	   1.801	   0.04 	  0.052	  2.884	   0.8  	        7.61	   -3.977
           4	   2.366	   0.002	  0.044	  2.996	   0.25 	        7.72	   -5.158
           3	   1.831	   0.027	  0.071	  1.706	   1.667	        6.54	   -1.968
           4	   3.083	   0.161	  0.108	  3.272	   6.75 	        7.34	    0.126
           3	   2.185	   0.002	  0.176	  2.996	   0.333	        6.28	   -5.026
           4	   1.099	   0    	  0.007	  1    	   0    	        6.46	   -2.106
           3	   2.398	   0    	  0.116	  3    	   0    	        6.79	   -5.514
           5	   2.769	   0.157	  0.104	  4.69 	   3.2  	        7.87	   -4.52
           3	   2.819	   0.032	  0.116	  2.837	   2.333	        6.25	   -3.471
           3	   2.185	   0.002	  0.147	  2.889	   0.333	        6.11	   -4.89
           5	   3.284	   0.252	  0.132	  3.879	   5.8  	        7.74	   -1.747
           4	   3.31 	   0.225	  0.062	  2.583	   6.75 	        6.8 	    0.57
           5	   1.944	   0.004	  0.11 	  4.709	   0.4  	        7.96	   -6.367
           5	   1.091	   0.002	  0.044	  1.996	   0.2  	        7.27	   -2.933
           3	   3.813	   0.246	  0.075	  2.464	   9.333	        6.36	    2.735
           3	   2.342	   0    	  0.121	  3    	   0    	        6.75	   -5.463
           5	   2.143	   0.087	  0.089	  3.746	   2.2  	        7.57	   -3.865
           4	   2.796	   0.142	  0.146	  3.811	   4    	        7.01	   -2.895
           5	   1.795	   0.03 	  0.079	  2.769	   1.2  	        7.49	   -3.473
           4	   1.645	   0.016	  0.14 	  2.905	   0.5  	        6.63	   -4.206
           5	   3.195	   0.372	  0.157	  3.852	  10.6  	        7.55	    3.024
           3	   2.411	   0.008	  0.07 	  1.849	   1    	        6.59	   -3.338
           4	   2.605	   0.108	  0.12 	  3.687	   4.25 	        6.58	   -2.27
           5	   2.027	   0.199	  0.078	  2.776	   4.4  	        7.34	   -0.68
           4	   3.168	   0.243	  0.103	  3.412	   7.25 	        7.1 	    0.324
           5	   2.607	   0.159	  0.072	  3.672	   3.4  	        7.35	   -3.11
           3	   3.162	   0.142	  0.077	  2.823	   5.333	        6.55	   -0.871
           5	   1.242	   0.053	  0.232	  4.258	   1    	        7.42	   -4.785
           3	   3.038	   0.126	  0.13 	  2.753	   6    	        6.61	   -0.047
           5	   1.782	   0.044	  0.119	  3.469	   1    	        8.29	   -4.414
           5	   1.557	   0.002	  0.064	  2.8  	   0.2  	        7.13	   -4.223
