  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           5	   2.461	   0.152	  0.191	  3.848	   1.8  	        5.85	   -4.852
           3	   2.109	   0.021	  0.178	  1.991	   0.333	        4.7 	   -3.966
           4	   2.36 	   0.167	  0.178	  2.79 	   2.5  	        5.51	   -2.995
           3	   2.465	   0.26 	  0.03 	  1.662	   5    	        4.73	    0.583
           5	   2.828	   0.343	  0.243	  4.138	   3.8  	        6.09	   -3.752
           3	   3.492	   0.272	  0.103	  2.757	   4.333	        5.66	   -2.291
           3	   2.615	   0.165	  0.128	  2.476	   3.667	        5.58	   -1.717
           4	   2.38 	   0.215	  0.034	  1.743	   3    	        5.32	   -1.372
           4	   1.782	   0.173	  0.036	  1.595	   2.5  	        5.4 	   -1.086
           3	   3.098	   0.272	  0.116	  2.275	   5.333	        5.19	   -0.428
           3	   3.512	   0.3  	  0.072	  2.407	   5.667	        5.11	   -0.624
           3	   3.078	   0.187	  0.065	  1.823	   3    	        4.74	   -2.153
           3	   3.405	   0.226	  0.066	  2.528	   4.333	        4.69	   -1.892
           3	   1.492	   0.01 	  0.095	  1.991	   0.333	        5.61	   -3.255
           3	   3.044	   0.114	  0.06 	  1.856	   2.333	        5.87	   -2.741
           4	   2.749	   0.272	  0.161	  3.214	   3.75 	        5.51	   -2.646
           5	   2.93 	   0.254	  0.126	  3.282	   3    	        7.7 	   -3.592
           5	   2.607	   0.192	  0.22 	  3.325	   2.2  	        7.29	   -4.144
           5	   3.189	   0.375	  0.102	  3.534	   4.6  	        6.84	   -2.6
           3	   3.015	   0.114	  0.086	  1.871	   2.333	        4.7 	   -2.753
           5	   2.832	   0.288	  0.134	  3.133	   3.4  	        5.96	   -2.987
           5	   2.51 	   0.21 	  0.084	  2.8  	   2    	        5.68	   -3.604
           5	   2.122	   0.216	  0.095	  2.408	   2.6  	        5.78	   -2.241
           3	   2.507	   0.15 	  0.064	  1.819	   2.667	        4.93	   -1.873
           5	   2.506	   0.286	  0.19 	  3.534	   3.6  	        6.3 	   -2.916
           5	   3.123	   0.34 	  0.118	  3.69 	   3.8  	        5.98	   -3.471
           3	   2.217	   0.01 	  0.095	  1.991	   0.333	        4.83	   -3.98
           3	   2.635	   0.133	  0.118	  1.602	   2.667	        5.35	   -1.821
           4	   2.307	   0.183	  0.146	  2.575	   2.5  	        5.83	   -2.711
           5	   2.687	   0.32 	  0.141	  3.828	   3.8  	        5.85	   -3.176
           3	   2.284	   0.154	  0.071	  1.743	   2.667	        4.76	   -1.585
           4	   2.473	   0.25 	  0.101	  2.5  	   3.75 	        6.14	   -1.574
