  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           2	   3.379	   0.146	  0.114	  1.643	   4.5  	        4.21	   -0.782
           2	   3.605	   0.243	  0.126	  1.611	   6.5  	        4.09	    0.915
           4	   2.137	   0.274	  0.22 	  2.039	   3.5  	        5.33	   -1.17
           2	   3.478	   0.337	  0.012	  1.445	   8.5  	        3.96	    3.228
           2	   3.379	   0.104	  0.126	  1.634	   4    	        4.24	   -1.243
           4	   1.69 	   0.15 	  0.192	  2.329	   2.75 	        5.15	   -1.611
           2	   1.869	   0.022	  0.265	  1.648	   1    	        4.22	   -2.804
           4	   2.474	   0.509	  0.061	  2.014	   6.75 	        5.84	    1.692
           4	   1.964	   0.192	  0.17 	  2.03 	   2.75 	        6.12	   -1.606
           4	   1.863	   0.232	  0.23 	  2.286	   3    	        5.52	   -1.611
           4	   2.474	   0.482	  0.21 	  2.462	   7    	        5.56	    1.372
           3	   1.612	   0.085	  0.329	  2.036	   2    	        4.88	   -2.062
           3	   2.619	   0.145	  0.202	  2.043	   3.333	        4.62	   -1.676
           3	   1.246	   0.127	  0.237	  1.932	   2.333	        4.69	   -1.209
           2	   1.869	   0.022	  0.265	  1.648	   1    	        4.24	   -2.804
           3	   2.253	   0.109	  0.095	  1.633	   3    	        4.57	   -1.09
           4	   1.69 	   0.26 	  0.227	  2.625	   3.75 	        5.02	   -1.052
           3	   3.476	   0.471	  0.113	  2.043	   8    	        4.81	    1.897
           2	   3.367	   0.12 	  0.122	  1.364	   3.5  	        4.06	   -1.473
           3	   3.482	   0.314	  0.2  	  2.024	   5    	        5.11	   -1.02
           2	   3.605	   0.213	  0.15 	  1.64 	   5.5  	        4.03	   -0.108
           3	   2.619	   0.194	  0.179	  2.033	   4.333	        4.56	   -0.692
           2	   2.418	   0.063	  0.222	  1.39 	   2    	        4.06	   -2.093
           3	   1.612	   0.11 	  0.162	  1.38 	   1.667	        4.66	   -1.597
           3	   2.253	   0.151	  0.086	  1.631	   3.333	        4.69	   -0.788
           4	   2.462	   0.346	  0.259	  2.931	   5    	        5.1 	   -0.998
