|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.38 |     7.087 |
|                     8 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.18 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.21 |     4.377 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.27 |     7.087 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.17 |     4.377 |
|                     7 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.29 |     6.547 |
|                    11 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.38 |     6.547 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.09 |     7.087 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.08 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.23 |     4.377 |
|                     5 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.2  |     7.087 |
|                     6 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.15 |     6.547 |
|                     2 |                       5 |    2.035 |    0.417 |   0.25  |   2.825 |     5    |         2.24 |     4.377 |
|                     4 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.19 |     7.087 |
|                     9 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.35 |     6.547 |
|                     3 |                       5 |    2.694 |    0.569 |   0.194 |   2.722 |     6.2  |         2.27 |     6.547 |
|                    10 |                       3 |    2.536 |    0.303 |   0.076 |   1.676 |     6    |         2.07 |     7.087 |
